coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
4796657,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-103_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-103_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-103_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-103.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:9f748574-c47f-428c-9c08-e67a62dfe4a2,"2017-08-10 01:05:07",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796657,StillImage,Photograph,en
4796658,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-102_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-102_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-102_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-102.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:6ce5cc76-a26f-4a9a-883a-f3e5b56a6673,"2017-08-10 01:03:44",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796658,StillImage,Photograph,en
4796659,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-216_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-216_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-216_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-216.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:770ec13e-7f83-4eb0-8c52-1f99dfeab4f0,"2017-08-10 01:05:22",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796659,StillImage,Photograph,en
4796660,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-218_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-218_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-218_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-218.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:6c5de0cd-5079-4586-8ab4-43a349c1eaf8,"2017-08-10 01:05:18",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796660,StillImage,Photograph,en
4796661,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-215_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-215_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-215_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-215.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:5a7ad068-ace6-42f2-8870-4fdf3087467f,"2017-08-10 01:01:40",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796661,StillImage,Photograph,en
4796662,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-214_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-214_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-214_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-214.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:d69effb0-f7a4-4a36-9ce9-7d0bfadd8945,"2017-08-10 01:02:37",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796662,StillImage,Photograph,en
4796663,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-213_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-213_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-213_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-213.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:6a251a2b-6b20-4945-955e-e5a362f108b3,"2017-08-10 01:02:47",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796663,StillImage,Photograph,en
4796664,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-100_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-100_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-100_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-100.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:44cb1cc2-0b12-4ed2-9785-4d73745a20ca,"2017-08-10 01:01:09",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796664,StillImage,Photograph,en
4796665,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-098_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-098_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-098_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16B-098.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:8b9a6a17-b7bb-487f-83ac-5df186020a6a,"2017-08-10 01:00:36",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796665,StillImage,Photograph,en
4796666,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-211_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-211_lg.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-211_tn.jpg,https://mycoportal.org/fnl/mycology/GBH/GBHV16A-211.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Foray Newfoundland and Labrador Fungarium (FNL)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:72a0050f-f45a-4393-8a90-d9b8454510c4,"2017-08-10 01:05:31",image/jpeg,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4796666,StillImage,Photograph,en
