Symbiota ID,institutionCode(Collection),CollectionCode,OwnerInstitutionCode,BasisOfRecord,OccurrenceID,CatalogNumber,OtherCatalogNumbers,HigherClassification,Kingdom,Phylum,Class,Order,Family,ScientificName,TaxonID,ScientificNameAuthorship,Genus,Subgenus,SpecificEpithet,VerbatimTaxonRank,InfraspecificEpithet,TaxonRank,IdentifiedBy,DateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
4797249,FNL,,,PreservedSpecimen,,GBHV16A-391,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Agaricaceae|Bovista,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Bovista pila,118507,Berk. & M.A. Curtis,Bovista,,pila,,,Species,Greg Thorn,,,,,,,Tish Scrivens,,,9/10/2016,,2016,9,10,254,,9/10/2016,,"Field, Lawn",,,,,,,,,,grass,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Bunker,,0,,53.294564,-60.383711,,,,,,,,,,,,,,,,,,2017-07-19 15:07,,62,9192fdb3-20ca-48aa-be80-3b3639654b0f,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797249
4797250,FNL,,,PreservedSpecimen,,GBHV16A-448,,Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Bisporella,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella citrina,114704,(Batsch) Korf & S.E. Carp.,Bisporella,,citrina,,,Species,Greg Thorn,,,,,,,Andr_ Arsenault,,,9/10/2016,,2016,9,10,254,,9/10/2016,,Coniferous wood,Dead conifer wood,,,,,,,,,Spruce,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Birch Brook Trail,,0,,53.43254,-60.37837,,,,,,,,,,,,,,,,,,2017-07-19 15:07,,62,babb0e6a-4515-44e0-8781-a1541a7f4fd0,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797250
4797251,FNL,,,PreservedSpecimen,,GBHV16A-403,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Auriculariomycetidae|Auriculariaceae|Auricularia,Fungi,Basidiomycota,Agaricomycetes,,Auriculariaceae,Auricularia americana,109675,Parmasto & I. Parmasto,Auricularia,,americana,,,Species,Greg Thorn,,,,,,,Robin McGrath,,,9/10/2016,,2016,9,10,254,,9/10/2016,,Mixed Woods,Soil,,,,,,,,,Spruce,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Birch Brook Trail,,0,,53.43254,-60.37837,,,,,,,,,,,,,,,,,,2017-07-19 15:07,,62,26842e3d-4963-4938-9708-8e46f0a7561e,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797251
4797252,FNL,,,PreservedSpecimen,,GBHV16B-293,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Physalacriaceae|Armillaria,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria ostoyae,100440,(Romagn.) Herink,Armillaria,,ostoyae,,,Species,Greg Thorn,,,,,,,?,,,9/10/2016,,2016,9,10,254,,9/10/2016,,Coniferous Woods,Soil,,,,,,,,,Alder/Birch/Balsam fir,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Spring Gulch,,0,,53.289583,-60.45995,,,,,,,,,,,,,,,,,,2017-07-19 15:07,,62,9384f20d-f373-4e0a-81de-27967ab4eade,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797252
4797253,FNL,,,PreservedSpecimen,,GBHV16A-386,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Amanitaceae|Agaricaceae|Amanita,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita wellsii,95403,(Murrill) Murrill,Amanita,,wellsii,,,Species,Jean Lodge,,,,,,,Chris Deduke,,,9/10/2016,,2016,9,10,254,,9/10/2016,,Mixed Woods,Moss/Sand,,,,,,,,,Birch/Spruce,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Base Perimeter 1,,0,,53.33332,-60.42151,,,,,,,,,,,,,,,,,,2017-07-19 15:07,,62,7668cb31-aa16-4e68-99b2-8b63c46c9023,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797253
4797254,FNL,,,PreservedSpecimen,,GBHV16A-390,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Amanitaceae|Agaricaceae|Amanita,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita wellsii,95403,(Murrill) Murrill,Amanita,,wellsii,,,Species,Renée Lebeuf,,,,,,,Raymond John Osmond,,,9/10/2016,,2016,9,10,254,,9/10/2016,,"Field, Lawn",Sand,,,,,,,,,Alder/Spruce/Spruce,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Base Perimeter 1,,0,,53.33332,-60.42151,,,,,,,,,,,,,,,,,,2017-07-20 8:37,,62,645799b2-c53e-4583-84b0-4725cfc7e2a7,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797254
4797255,FNL,,,PreservedSpecimen,,GBHV16C-031,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Amanitaceae|Agaricaceae|Amanita|Amanita muscaria,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita muscaria var. guessowii,480293,Veselý,Amanita,,muscaria,var.,guessowii,Morph,Greg Thorn,,,,,,,Glynn Bishop,,,9/10/2016,,2016,9,10,254,,9/10/2016,,Coniferous Woods,Duff,,,,,,,,,Alder/Birch/Spruce,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Rabbit,,0,,53.43382,-60.37794,,,,,,,,,,,,,,,,,,2017-07-19 15:07,,62,c28d12f5-162c-464d-9e3e-a5ef1143f702,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797255
4797256,FNL,,,PreservedSpecimen,,GBHV16B-358,,,,,,,,Alpova cinnamomea,,,,,,,,,Greg Thorn,,,,,,,?,,,9/10/2016,,2016,9,10,254,,9/10/2016,,Coniferous Woods,Soil,,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Robin,,0,,53.43266,-60.38006,,,,,,,,,,,,,,,,,,2017-07-19 15:07,,62,d6e3b4bc-a4ad-4793-ace2-a554a18d510d,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797256
4797257,FNL,,,PreservedSpecimen,,GBHV16D-035,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Russulales|Russulaceae|Lactarius,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius rufus,184785,(Scop.) Fr.,Lactarius,,rufus,,,Species,Greg Thorn,,,,,,,Betty Anne Fequet,,,9/10/2016,,2016,9,10,254,,9/10/2016,,Coniferous Woods,Sphagnum,,,,,,,,,Alder/Spruce,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Birch Brook Trail,,0,,53.43254,-60.37837,,,,,,,,,,,,,,,,,,2017-07-19 15:07,,62,db17574a-aa0e-4671-a6d3-169406c9c686,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797257
4797258,FNL,,,PreservedSpecimen,,GBHV16E-026,,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Hygrophoraceae|Lichenomphalia,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Lichenomphalia umbellifera,185260,"(L.) Redhead, Lutzoni, Moncalvo & Vilgalys",Lichenomphalia,,umbellifera,,,Species,Andrus Voitk,,,,,,,Michael Burzynski,,,9/4/2016,,2016,9,4,248,,9/4/2016,,Heath barrens,Moss,,,,,,,,,,,,,,,,,,,,,,Canada,Newfoundland and Labrador,,,Tracey Hill/Red Bay,,0,,51.727219,-56.449544,,,,,,,,,,,,,,,,,,2017-12-11 12:45,,62,b38b6b14-aa70-45c2-9e09-20e9fa91e160,https://www.mycoportal.org/portal/collections/individual/index.php?occid=4797258
